央视,#genre#
广西卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=guangxiHD
广西卫视,http://218.17.196.234:9901/tsfile/live/0113_1.m3u8
广西卫视,http://113.100.193.10:9901/tsfile/live/0113_1.m3u8
广西卫视,http://111.40.196.32:443/PLTV/88888888/224/3221225518/1.m3u8

海南卫视,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1594363320_-990671769/envivo_x/SD/lvyou/711/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073744&ContentId=531262161&timezone=UTC&mtv_session=b55d04e0b5c7e772923fd49422a408a4&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=97ea95aaf536edf9a57ca0219cadc011&咪咕
海南卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8?
海南卫视,https://cntv.sbs/tv?auth=231005&id=hinws
海南卫视,http://111.40.196.27:443/0000000000001000/5000000004000006211/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000004000006211
海南卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=hainanSD
海南卫视,http://111.40.196.28:443/PLTV/88888888/224/3221225640/1.m3u8
海南卫视,http://113.100.193.10:9901/tsfile/live/1011_1.m3u8

重庆卫视,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1589064099_-704327727/envivo_x/2018/SD/chongqing/1000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073739&ContentId=531262033&timezone=UTC&mtv_session=90df447b59006f4434fec2d4695f28a7&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=8bbc2e41f5b3f80d0b069addb6f1df46&咪咕
重庆卫视,https://cntv.sbs/tv?auth=231005&id=cqws
重庆卫视,http://111.40.196.27:443/0000000000001000/1000000001000001096/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000001096
重庆卫视,http://218.17.196.234:9901/tsfile/live/0142_1.m3u8
重庆卫视,http://113.100.193.10:9901/tsfile/live/0142_1.m3u8

四川卫视,https://cntv.sbs/tv?auth=231005&id=scws
四川卫视,http://111.40.196.27:443/0000000000001000/5000000004000006119/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000004000006119
四川卫视,https://iptv.luas.edu.cn/liverespath/ca3f021632b48e6960797776657926074723d276/027c826f0e-0-0-4caf8e44f0157ea591d8857569b9a2c3/index.m3u8
四川卫视,http://111.40.196.34:443/PLTV/88888888/224/3221225562/1.m3u8
四川卫视,http://113.100.193.10:9901/tsfile/live/0123_1.m3u8
四川卫视,http://218.17.196.234:9901/tsfile/live/0123_1.m3u8

贵州卫视,https://cntv.sbs/tv?auth=231005&id=gzws
贵州卫视,http://111.40.196.27:443/0000000000001000/5000000004000025843/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000004000025843
贵州卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=guizhouHD
贵州卫视,http://218.17.196.234:9901/tsfile/live/0120_1.m3u8
贵州卫视,http://113.100.193.10:9901/tsfile/live/0120_1.m3u8
贵州卫视,http://111.40.196.25:443/PLTV/88888888/224/3221225522/1.m3u8

云南卫视,https://cntv.sbs/tv?auth=231005&id=ynws
云南卫视,http://111.40.196.27:443/0000000000001000/1000000002000024694/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000024694
云南卫视,https://iptv.luas.edu.cn/liverespath/d45a277ca433670e3f463b497783af19bb2c63f8/3f1dcf4cf3-0-0-3f0618b5bab73c0ebb1be6c66ccbf65d/index.m3u8
云南卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=yunnanSD
云南卫视,http://113.100.193.10:9901/tsfile/live/0119_1.m3u8
云南卫视,http://218.17.196.234:9901/tsfile/live/0119_1.m3u8
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8

西藏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
